station,lat,lon,n,date_min,date_max
21FLROOK_WQX-RKBLHNUT,26.027489987,-81.73361,1623,2012-10-02,2024-05-02
21FLANER_WQX-APAESNUT,29.785799989,-84.8752,1469,2013-07-09,2024-10-02
21FLWQA_WQX-GTMPCNUT,29.667540563,-81.257754502,996,2014-02-25,2020-10-13
21FLGTM_WQX-GTMPCNUT,29.667027207,-81.257421974,608,2020-10-12,2024-08-20
21FLSFWM_WQX-18222,26.840783333,-81.083522222,414,2016-07-05,2024-09-30
21FLSFWM_WQX-18245,26.722734649,-81.691018943,406,2016-10-24,2024-09-30
21FLSFWM_WQX-17545,26.838264709,-81.084147778,403,2017-01-05,2024-09-30
21FLROOK_WQX-RKBMBNUT,25.934700395,-81.594822623,274,2012-10-04,2024-05-02
21FLROOK_WQX-RKBPBNUT,25.914099987,-81.5404,273,2012-10-04,2024-05-02
21FLROOK_WQX-RKBFBNUT,25.889520363,-81.476548048,272,2012-10-04,2024-05-02
21FLROOK_WQX-RKBFUNUT,25.900499987,-81.5159,270,2012-10-04,2024-05-02
FLPRMRWS_WQX-PR18,27.088901,-81.9938016,249,2017-01-05,2023-12-19
CAPECRD_WQX-540,26.553167723,-81.973817728,240,2016-11-15,2024-04-16
CAPECRD_WQX-600,26.54222,-82.00361,239,2017-04-20,2024-04-23
CAPECRD_WQX-242,26.644117752,-81.874722535,235,2012-01-05,2024-04-04
CAPECRD_WQX-271,26.64284473,-82.056092856,232,2014-12-02,2024-04-02
CAPECRD_WQX-350,26.62278,-81.90972,230,2016-04-07,2024-04-04
CAPECRD_WQX-262,26.64639,-81.93472,228,2016-07-07,2024-04-04
CAPECRD_WQX-435,26.599999503,-82.007355696,227,2015-02-24,2024-04-23
CAPECRD_WQX-470,26.57735499,-81.943337465,225,2016-12-08,2024-04-09
CAPECRD_WQX-590,26.543739057,-82.010728076,221,2017-04-20,2024-04-23
21FLSFWM_WQX-30854,27.44275,-81.2974,220,2020-02-13,2024-10-03
CAPECRD_WQX-295,26.63639,-81.95806,219,2010-12-08,2024-04-09
CAPECRD_WQX-120,26.699010171,-82.063691517,219,2016-04-05,2024-04-02
CAPECRD_WQX-310,26.62944,-81.96778,218,2015-10-15,2024-04-11
21FLCOLL_WQX-LKTRAF1,26.431800001,-81.48719,217,2010-01-28,2024-05-09
CAPECRD_WQX-300,26.636648422,-81.930610059,216,2015-02-19,2024-04-16
21FLMOSA_WQX-024006,27.689340057,-82.244667042,215,2012-01-17,2023-12-19
21FLSFWM_WQX-18130,27.225877778,-80.962580556,215,2016-07-06,2024-09-16
21FLSFWM_WQX-11706,26.331038333,-80.881661944,214,2016-06-27,2024-08-26
CAPECRD_WQX-550,26.549202647,-82.034217229,214,2016-08-18,2024-04-23
21FLSFWM_WQX-29653,26.997645,-81.068305833,213,2016-07-06,2024-09-16
21FLSFWM_WQX-17625,26.984891667,-80.621427778,211,2016-06-20,2024-09-16
21FLSFWM_WQX-30853,27.330930556,-81.253230556,210,2020-02-13,2024-10-03
CAPECRD_WQX-210,26.662636629,-81.929089534,209,2016-06-07,2024-04-04
21FLSFWM_WQX-18966,27.142683333,-80.201177778,207,2016-07-11,2024-09-24
21FLSFWM_WQX-35318,27.191033611,-80.213291389,207,2016-07-11,2024-09-24
21FLMOSA_WQX-024003,27.704839493,-82.197665695,207,2012-01-17,2023-12-19
21FLSFWM_WQX-6553,26.962736389,-81.120893889,206,2016-07-06,2024-09-16
21FLSFWM_WQX-18085,27.659641667,-81.134272222,204,2016-07-11,2024-09-09
21FLDADE_WQX-MR01,25.770035,-80.1915094,203,2010-01-05,2024-07-09
21FLDADE_WQX-BB39A,25.5264328,-80.3070577,203,2010-04-07,2024-07-10
CAPECRD_WQX-160,26.67841231,-82.038986994,203,2016-07-05,2024-04-02
CAPECRD_WQX-290,26.6375,-81.9775,201,2011-10-13,2024-04-11
21FLSFWM_WQX-9690,26.739925,-80.918966667,200,2016-07-06,2024-09-16
21FLSFWM_WQX-17766,26.864066667,-80.632375,198,2016-07-06,2024-09-16
21FLSFWM_WQX-18291,27.21585,-80.973675,198,2016-07-06,2024-09-16
CAPECRD_WQX-442,26.583861554,-82.009522581,198,2013-08-20,2024-04-23
CAPECRD_WQX-190,26.669819546,-82.038000991,196,2016-04-05,2024-04-02
CAPECRD_WQX-130,26.694263457,-82.038981195,196,2016-07-05,2024-04-02
CAPECRD_WQX-430,26.589496829,-81.970846093,195,2015-02-19,2024-04-16
21FLSJWM_WQX-44966,28.731917333,-80.717235472,192,2016-08-11,2024-01-08
21FLSFWM_WQX-18945,27.303877778,-80.30705,192,2016-07-12,2024-09-25
