station,lat,lon,n,date_min,date_max
21FLROOK_WQX-RKBLHNUT,26.027489987,-81.73361,1768,2012-10-02,2025-05-14
21FLANER_WQX-APAESNUT,29.785799989,-84.8752,1560,2013-07-09,2025-08-06
21FLWQA_WQX-GTMPCNUT,29.667540563,-81.257754502,1111,2014-02-25,2020-10-13
21FLGTM_WQX-GTMPCNUT,29.667027207,-81.257421974,963,2012-12-10,2025-08-20
21FLMCGL_WQX-WS B,30.235296,-84.302941,336,2015-12-24,2022-12-29
21FLNAPL_WQX-MB2,26.188200001,-81.81187,325,2010-01-05,2025-03-13
21FLNAPL_WQX-HALDCR,26.122290001,-81.78248,304,2011-02-10,2025-03-18
21FLROOK_WQX-RKBPBNUT,25.914099987,-81.5404,294,2012-10-04,2025-05-06
21FLROOK_WQX-RKBMBNUT,25.934700395,-81.594822623,292,2012-10-04,2025-05-06
21FLROOK_WQX-RKBFUNUT,25.900499987,-81.5159,291,2012-10-04,2025-05-06
21FLROOK_WQX-RKBFBNUT,25.889520363,-81.476548048,287,2012-10-04,2025-05-06
21FLCOLL_WQX-LKTRAF1,26.431800001,-81.48719,256,2010-01-28,2024-12-09
21FLMCGL_WQX-WSW L,30.233814,-84.302276,247,2016-03-28,2021-10-29
21FLTBW_WQX-ARBAY000,27.852500001,-82.4093,247,2010-01-19,2024-09-17
21FLSJWM_WQX-SJRHBP,30.0666667,-81.6869444,245,2010-01-05,2015-05-18
21FLWQA_WQX-GTMPINUT,30.0508,-81.3675,234,2014-02-26,2020-10-13
21FLLCPC_WQX-GRIFFINTISH,28.860388962,-81.838457501,234,2010-01-25,2025-08-26
21FLSJWM_WQX-44966,28.731917333,-80.717235472,233,2016-08-11,2025-04-10
21FLWQA_WQX-GTMSSNUT,29.868841988,-81.307443,232,2014-02-26,2020-10-13
21FLWQA_WQX-GTMFMNUT,29.737,-81.246,228,2014-02-26,2020-10-13
21FLCOLL_WQX-LKTRAF8,26.421560001,-81.47842,225,2010-01-28,2024-12-09
21FLSJWM_WQX-44897,28.366955001,-80.633019,220,2016-10-17,2025-04-10
21FLCOLL_WQX-BC15,26.270851211,-81.769537023,215,2010-01-06,2025-01-21
21FLCOLL_WQX-LKTRAF4,26.418360001,-81.50297,215,2010-01-28,2024-12-09
21FLSJWM_WQX-45678,30.066667,-81.686944,212,2015-06-08,2025-04-21
21FLCOLL_WQX-COCPALM,26.277800001,-81.778069,211,2010-01-21,2025-01-21
21FLSJWM_WQX-44916,28.393066001,-80.735861,211,2016-10-18,2025-04-10
21FLSJWM_WQX-44924,28.125272001,-80.616468,209,2016-10-18,2025-03-19
21FLLCPC_WQX-PALATRHAWBR,28.759048422,-81.873279356,205,2010-01-28,2025-08-26
21FLCOLL_WQX-CORK@846,26.277656001,-81.601238,204,2010-01-06,2025-01-08
21FLSJWM_WQX-71894,28.847980001,-81.35328,203,2016-09-21,2025-05-27
21FLCOLL_WQX-IMKBRN,26.409071004,-81.397870688,203,2010-01-14,2025-01-14
21FLCOLL_WQX-GGCAT31,26.168029365,-81.76723388,201,2010-01-13,2025-01-16
21FLLOX_WQX-72,26.943427744,-80.121587415,200,2010-01-20,2025-06-09
21FLSJWM_WQX-44194,28.71288889,-81.034194444,195,2016-11-08,2025-05-08
21FLLOX_WQX-62,26.976287701,-80.1319161,194,2010-01-27,2025-06-09
21FLCOLL_WQX-BC14,26.272691983,-81.778374329,194,2010-01-21,2025-01-21
21FLCOLL_WQX-LELY,26.104678711,-81.74598763,192,2010-01-13,2025-01-08
21FLLOX_WQX-10,26.944869399,-80.074443872,191,2010-01-19,2025-06-09
21FLLOX_WQX-40,26.947386001,-80.09282,191,2010-01-19,2025-06-09
21FLCOLL_WQX-BARRIVN,25.910338843,-81.363136892,190,2010-01-25,2025-01-15
21FLLOX_WQX-60,26.958044501,-80.1202703,189,2010-01-27,2025-06-09
21FLCOLL_WQX-GGC@858,26.293517807,-81.561851387,188,2010-01-06,2025-01-07
21FLCOLL_WQX-FAKA,25.960541321,-81.509524742,188,2010-01-19,2025-01-15
21FLSJWM_WQX-44183,28.078941119,-80.766542522,188,2016-10-24,2025-03-31
21FLSBL_WQX-SAN-WQ-8,26.442797223,-82.040038889,187,2010-01-25,2025-06-16
21FLLOX_WQX-65,26.991137901,-80.1550456,186,2010-01-27,2025-06-09
21FLLOX_WQX-95,26.934725401,-80.1911745,186,2010-01-27,2025-06-09
21FLLOX_WQX-67,26.976002701,-80.1633482,186,2010-01-27,2025-06-09
21FLSBL_WQX-DINKINS BAYOU 1,26.48163889,-82.174333333,186,2010-01-25,2025-06-16
21FLSBL_WQX-SAN-WQ-1,26.473747223,-82.164955556,186,2010-01-25,2025-06-16
21FLSBL_WQX-SAN-WQ-3,26.447458334,-82.131691667,186,2010-01-25,2025-06-16
21FLSBL_WQX-BLIND PASS 1-I,26.482027779,-82.178933333,186,2010-01-25,2025-06-16
21FLCOLL_WQX-COC@LAKE,26.272951159,-81.759647851,186,2010-01-06,2025-01-21
21FLSBL_WQX-SAN-WQ-7,26.441511112,-82.046519444,186,2010-01-25,2025-06-16
21FLSBL_WQX-SAN-WQ-2,26.466066667,-82.1599,186,2010-01-25,2025-06-16
21FLSBL_WQX-SAN-WQ-4,26.43758889,-82.107997222,186,2010-01-25,2025-06-16
21FLSBL_WQX-SAN-WQ-6,26.437400001,-82.058266667,186,2010-01-25,2025-06-16
21FLLOX_WQX-69,26.937309401,-80.1761552,185,2010-01-27,2025-06-09
21FLSBL_WQX-SAN-WQ-5,26.438722223,-82.087827778,185,2010-01-25,2025-06-16
21FLSJWM_WQX-45491,30.372,-81.62797,184,2016-08-24,2025-01-21
21FLCOLL_WQX-GORDONRIV,26.173735485,-81.784345674,183,2010-01-13,2025-01-16
21FLMOSA_WQX-024006,27.689340057,-82.244667042,183,2012-01-17,2021-07-15
21FLLOX_WQX-100,26.977266501,-80.1659744,183,2010-01-27,2025-06-09
21FLHILL_WQX-102,28.010599,-82.607803,182,2010-01-04,2025-07-01
21FLSBL_WQX-BLIND PASS 2-I,26.482947223,-82.1826,182,2010-01-25,2025-06-16
21FLHILL_WQX-118,28.0683,-82.268898,181,2010-01-20,2025-07-23
21FLHILL_WQX-135,28.0604,-82.278297,181,2010-01-20,2025-07-23
21FLSBL_WQX-BLIND PASS 2-O,26.482719445,-82.183191667,181,2010-02-24,2025-06-16
21FLCOLL_WQX-BC10,26.153078698,-81.523239538,181,2010-01-12,2025-01-13
21FLHILL_WQX-146,28.054018478,-82.345253128,181,2010-01-19,2025-07-14
21FLHILL_WQX-109,27.945806696,-82.401670251,181,2010-01-13,2025-07-09
21FLEECO_WQX-23-5GR,26.715748,-81.808624,180,2010-01-21,2025-07-14
21FLHILL_WQX-181,27.681033,-82.430517,180,2010-01-27,2025-07-16
21FLHILL_WQX-177,27.9459,-82.379083,180,2010-01-13,2025-07-09
21FLHILL_WQX-147,27.981646767,-82.354791449,180,2010-01-19,2025-07-23
21FLHILL_WQX-148,28.0861219,-82.270805517,180,2010-01-19,2025-07-14
21FLLOX_WQX-107,26.978191801,-80.1463321,180,2010-01-27,2025-06-09
21FLHILL_WQX-110,27.952464571,-82.370880114,180,2010-01-13,2025-07-09
21FLHILL_WQX-178,27.857517,-82.35535,179,2010-01-25,2025-07-22
21FLMOSA_WQX-024003,27.704839493,-82.197665695,178,2012-01-17,2021-07-15
21FLCOLL_WQX-BC5,26.125411651,-81.770714276,178,2010-01-07,2025-01-16
21FLSJWM_WQX-45488,30.390340431,-81.49573344,178,2016-08-24,2025-01-21
