station,date,value
11NPSWRD_WQX-TIMU_01,2010-02-03,0.86
11NPSWRD_WQX-TIMU_01,2010-03-31,6.78
11NPSWRD_WQX-TIMU_01,2010-07-27,17.22
11NPSWRD_WQX-TIMU_01,2010-09-21,11.87
11NPSWRD_WQX-TIMU_01,2010-11-30,6.45
11NPSWRD_WQX-TIMU_01,2011-04-19,18.11
11NPSWRD_WQX-TIMU_01,2011-09-20,12.6
11NPSWRD_WQX-TIMU_01,2011-10-20,11.8
11NPSWRD_WQX-TIMU_01,2011-12-13,11.0
11NPSWRD_WQX-TIMU_01,2012-01-24,16.9
11NPSWRD_WQX-TIMU_01,2012-04-17,9.5
11NPSWRD_WQX-TIMU_01,2012-06-19,3.9
11NPSWRD_WQX-TIMU_01,2012-10-16,3.3
11NPSWRD_WQX-TIMU_01,2013-03-05,27.2
11NPSWRD_WQX-TIMU_01,2013-08-06,3.4
11NPSWRD_WQX-TIMU_01,2013-10-08,3.1
11NPSWRD_WQX-TIMU_01,2014-04-22,2.3
11NPSWRD_WQX-TIMU_01,2014-05-20,9.8
11NPSWRD_WQX-TIMU_01,2015-07-14,16.1
11NPSWRD_WQX-TIMU_01,2015-09-22,2.0
11NPSWRD_WQX-TIMU_01,2016-05-03,6.4
11NPSWRD_WQX-TIMU_01,2016-08-16,30.1
11NPSWRD_WQX-TIMU_01,2017-04-11,8.0
11NPSWRD_WQX-TIMU_01,2017-08-09,5.0
11NPSWRD_WQX-TIMU_01,2017-10-25,2.0
11NPSWRD_WQX-TIMU_01,2018-01-23,4.0
11NPSWRD_WQX-TIMU_01,2018-04-03,10.4
11NPSWRD_WQX-TIMU_01,2018-05-08,7.8
11NPSWRD_WQX-TIMU_01,2018-11-06,4.2
11NPSWRD_WQX-TIMU_01,2019-02-26,3.1
11NPSWRD_WQX-TIMU_01,2019-04-02,4.2
11NPSWRD_WQX-TIMU_01,2019-05-14,8.8
11NPSWRD_WQX-TIMU_01,2019-06-25,6.1
11NPSWRD_WQX-TIMU_01,2019-08-27,3.4
11NPSWRD_WQX-TIMU_01,2019-10-15,7.6
11NPSWRD_WQX-TIMU_02,2010-02-03,1.3
11NPSWRD_WQX-TIMU_02,2010-03-31,6.79
11NPSWRD_WQX-TIMU_02,2010-07-27,26.6
11NPSWRD_WQX-TIMU_02,2010-09-21,14.42
11NPSWRD_WQX-TIMU_02,2010-11-30,5.62
