station,lat,lon,n,date_min,date_max
21FLROOK_WQX-RKBLHNUT,26.027489987,-81.73361,1768,2012-10-02,2025-05-14
21FLANER_WQX-APAESNUT,29.785799989,-84.8752,1561,2013-07-09,2025-08-06
21FLWQA_WQX-GTMPCNUT,29.667540563,-81.257754502,1075,2014-02-25,2020-10-13
21FLGTM_WQX-GTMPCNUT,29.667027207,-81.257421974,963,2012-12-10,2025-08-20
FLPRMRWS_WQX-PR18,27.088901,-81.9938016,445,2010-01-28,2024-12-23
21FLMCGL_WQX-WS B,30.235296,-84.302941,336,2015-12-24,2022-12-29
FLPRMRWS_WQX-PR10,26.943926,-82.060335,328,2010-01-28,2024-12-23
FLPRMRWS_WQX-PR12,26.9869027,-81.992398,321,2010-01-28,2024-12-23
FLPRMRWS_WQX-PR9,26.8994623,-82.120805,314,2010-01-28,2024-12-23
FLPRMRWS_WQX-PR14,27.0558224,-81.9910861,310,2010-01-28,2024-12-23
21FLROOK_WQX-RKBPBNUT,25.914099987,-81.5404,294,2012-10-04,2025-05-06
21FLROOK_WQX-RKBMBNUT,25.934700395,-81.594822623,292,2012-10-04,2025-05-06
21FLROOK_WQX-RKBFUNUT,25.900499987,-81.5159,291,2012-10-04,2025-05-06
21FLROOK_WQX-RKBFBNUT,25.889520363,-81.476548048,287,2012-10-04,2025-05-06
21FLMCGL_WQX-WSW L,30.233814,-84.302276,247,2016-03-28,2021-10-29
21FLSJWM_WQX-SJRHBP,30.0666667,-81.6869444,245,2010-01-05,2015-05-18
21FLSJWM_WQX-44966,28.731917333,-80.717235472,236,2016-08-11,2025-04-10
21FLSJWM_WQX-44897,28.366955001,-80.633019,223,2016-10-17,2025-04-10
21FLSJWM_WQX-45678,30.066667,-81.686944,216,2015-06-08,2025-04-21
21FLSJWM_WQX-44916,28.393066001,-80.735861,213,2016-10-18,2025-04-10
21FLSJWM_WQX-44924,28.125272001,-80.616468,211,2016-10-18,2025-03-19
21FLSJWM_WQX-71894,28.847980001,-81.35328,206,2016-09-21,2025-05-27
21FLWQA_WQX-GTMPINUT,30.0508,-81.3675,198,2014-02-26,2020-10-13
21FLSJWM_WQX-44194,28.71288889,-81.034194444,197,2016-11-08,2025-05-08
21FLLOX_WQX-72,26.943427744,-80.121587415,196,2010-01-20,2025-06-09
21FLWQA_WQX-GTMSSNUT,29.868841988,-81.307443,194,2014-02-26,2020-10-13
21FLWQA_WQX-GTMFMNUT,29.737,-81.246,192,2014-02-26,2020-10-13
21FLSJWM_WQX-44183,28.078941119,-80.766542522,191,2016-10-24,2025-03-31
