station,lat,lon,n,date_min,date_max
21FLSJWM_WQX-IRLSUS,27.8541667,-80.4913889,937,2010-01-06,2014-10-08
21FLSJWM_WQX-45545,30.156667,-81.683889,660,2015-06-08,2025-02-10
21FLSJWM_WQX-SJRHBP,30.0666667,-81.6869444,606,2010-02-15,2015-05-18
21FLSJWM_WQX-MP72,30.1566667,-81.6838889,602,2010-02-15,2015-05-18
21FLSJWM_WQX-BB22,29.5952778,-81.6791667,596,2010-02-11,2016-04-20
21FLSJWM_WQX-45678,30.066667,-81.686944,593,2015-06-08,2025-04-21
21FLSJWM_WQX-SRP,29.7988889,-81.5644444,585,2010-02-15,2015-05-18
21FLSJWM_WQX-44596,29.981628029,-81.622138167,575,2017-06-19,2025-02-10
21FLSJWM_WQX-44673,29.308306001,-81.606375,547,2017-03-13,2025-01-14
21FLSJWM_WQX-53859,29.801690001,-81.55453,533,2015-06-08,2025-04-21
21FLSJWM_WQX-45556,29.474722222,-81.697777778,532,2017-03-13,2025-01-14
21FLSJWM_WQX-45373,29.595278001,-81.679167,509,2016-12-19,2025-01-14
21FLSJWM_WQX-45506,30.252222,-81.657778,503,2015-06-08,2025-04-21
21FLSJWM_WQX-45491,30.372,-81.62797,489,2016-08-24,2025-01-21
21FLSJWM_WQX-44645,30.138056,-81.727222,488,2016-08-15,2025-02-10
21FLSJWM_WQX-JAXSJR40,30.2522222,-81.6577778,485,2010-02-15,2015-05-18
21FLSJWM_WQX-45674,29.643611,-81.625,482,2016-12-19,2025-01-14
21FLSJWM_WQX-45488,30.390340431,-81.49573344,478,2016-08-24,2025-01-21
21FLSJWM_WQX-45738,29.895,-81.594722,477,2015-06-08,2025-04-21
21FLSJWM_WQX-SJP,29.6436111,-81.625,475,2010-02-15,2016-04-20
21FLMRC_WQX-BR-0200-01,28.350342987,-80.613028,469,2015-01-04,2025-06-23
21FLSJWM_WQX-JAXSJR04,30.3909133,-81.4967962,457,2010-02-04,2016-04-12
21FLSJWM_WQX-IRLTUS,28.0327778,-80.58,456,2010-01-05,2016-04-04
21FLSJWM_WQX-OCKLRM,29.4747222,-81.6977778,454,2010-02-11,2016-04-20
21FLMRC_WQX-SL-2122-01,26.945677987,-80.074632,443,2015-01-04,2025-06-29
21FLMRC_WQX-CL-0029-01,28.030519987,-80.5853,427,2015-01-21,2025-06-29
21FLSJWM_WQX-44882,28.820890001,-80.860101,420,2017-02-06,2025-02-03
21FLSJWM_WQX-SJWSIL,29.895,-81.5947222,419,2010-02-15,2015-05-18
21FLMRC_WQX-BR-0201-01,28.331438987,-80.659501,418,2015-01-10,2025-06-24
21FLSJWM_WQX-JAXSJR01,30.4019444,-81.4022222,418,2010-02-04,2015-05-21
21FLSJWM_WQX-456638,29.701075,-81.661202,413,2016-12-19,2025-01-14
21FLSJWM_WQX-IRLTPM,28.0166667,-80.5961111,412,2010-01-05,2016-04-04
21FLSJWM_WQX-LEO,29.3083056,-81.606375,408,2010-02-18,2016-04-20
21FLSJWM_WQX-JAXSJR17,30.3669444,-81.6188889,406,2010-02-04,2016-04-12
21FLMRC_WQX-NL-0493-01,28.150555987,-80.634964,403,2015-01-04,2025-06-22
21FLSJWM_WQX-45399,29.529556,-81.553722,391,2016-12-20,2025-02-13
21FLMRC_WQX-BR-0300-01,28.198258957,-80.612510435,390,2017-02-15,2025-06-25
21FLSJWM_WQX-45675,29.698778,-81.641434,385,2016-12-19,2025-01-14
21FLSABR_WQX-BAY-GR-LAGOON-4,30.147666989,-85.745333,367,2010-01-17,2025-08-22
21FLSABR_WQX-BAY-GR-LAGOON-3,30.164629989,-85.77818,367,2010-01-17,2025-08-22
21FLSJWM_WQX-IRLCCU,28.0775,-80.6022222,362,2010-01-05,2016-04-04
21FLSABR_WQX-BAY-GR-LAGOON-5,30.134999989,-85.728333,361,2010-01-17,2025-08-22
21FLSABR_WQX-BAY-NO-THBAY-3,30.253332989,-85.685,356,2010-01-15,2025-08-30
21FLSABR_WQX-BAY-NO-THBAY-1,30.263332989,-85.616667,356,2010-01-15,2025-08-30
21FLMRC_WQX-CL-0034-01,28.029674987,-80.545989,356,2017-01-05,2025-05-24
21FLSABR_WQX-BAY-NO-THBAY-2,30.261666989,-85.651667,354,2010-01-15,2025-08-30
21FLSABR_WQX-BAY-POWELL-2,30.274816989,-85.9841,352,2010-01-17,2025-08-14
21FLSABR_WQX-BAY-POWELL-4,30.272532989,-85.985983,352,2010-01-17,2025-08-14
21FLSABR_WQX-BAY-POWELL-3,30.281549989,-85.994717,352,2010-01-17,2025-08-14
21FLSABR_WQX-BAY-POWELL-6,30.275366989,-85.977783,350,2010-02-20,2025-08-14
21FLSABR_WQX-BAY-POWELL-1,30.272749989,-85.9679,350,2010-02-20,2025-08-14
21FLSJWM_WQX-44598,29.377647223,-81.627680556,348,2016-11-14,2024-11-25
21FLSABR_WQX-BAY-POWELL-5,30.268449989,-85.9753,347,2010-01-17,2025-08-14
21FLSABR_WQX-BAY-EA-STBAY-5,30.124999989,-85.63,347,2010-01-17,2025-08-17
21FLSABR_WQX-BAY-POWELLSO-1,30.266666989,-85.955567,346,2010-01-17,2025-08-14
21FLSABR_WQX-BAY-UPPER-GOOSE-BAYOU-1,30.241282989,-85.683467,345,2010-01-15,2025-08-30
21FLSABR_WQX-BAY-WE-STBAY-4,30.174999989,-85.741667,345,2010-01-18,2025-08-15
21FLSABR_WQX-BAY-ST-EWBAY-2,30.156666989,-85.685,344,2010-01-15,2025-07-30
