station,lat,lon,n,date_min,date_max
21FLDOH_WQX-ESCAMBIA91,30.399919287,-87.237361636,1076,2010-01-04,2025-12-15
21FLDOH_WQX-SARASOTA273,27.100337101,-82.460891,1051,2010-01-04,2025-12-29
21FLDOH_WQX-DADE72,25.70861906,-80.151976362,1032,2010-01-04,2025-12-23
21FLDOH_WQX-SARASOTA267,27.265176901,-82.553102,1030,2010-01-04,2025-12-29
21FLDOH_WQX-LEE145,26.541778002,-81.9509541,1026,2010-01-04,2025-12-29
21FLDOH_WQX-SARASOTA366,27.326820001,-82.562441,1020,2010-01-04,2025-12-29
21FLDOH_WQX-LEE143,26.451570001,-82.015437,1017,2010-01-04,2025-12-29
21FLDOH_WQX-LEE142,26.421926423,-82.080117,1015,2010-01-04,2025-12-29
21FLDOH_WQX-LEE146,26.462669301,-81.967236,1009,2010-01-04,2025-12-29
21FLDOH_WQX-SARASOTA367,27.073501001,-82.450902,1009,2010-01-04,2025-12-29
21FLDOH_WQX-LEE141,26.458427701,-82.155737,1005,2010-01-04,2025-12-29
21FLDOH_WQX-LEE140,26.482685901,-82.183498,1004,2010-01-04,2025-12-29
21FLDOH_WQX-LEE150,26.331052301,-81.845739,1001,2010-01-04,2025-12-29
21FLDOH_WQX-LEE139,26.526357901,-82.193878,1001,2010-01-04,2025-12-29
21FLDOH_WQX-LEE147,26.453978401,-81.957761,1001,2010-01-04,2025-12-29
21FLDOH_WQX-DADE66,25.858584601,-80.118761,994,2010-01-04,2025-12-23
21FLDOH_WQX-LEE149,26.358670201,-81.859331,993,2010-01-04,2025-12-29
21FLDOH_WQX-SARASOTA268,27.218424501,-82.51711,989,2010-01-04,2025-12-29
21FLDOH_WQX-SARASOTA265,27.311000801,-82.577178,983,2010-01-04,2025-12-29
21FLDOH_WQX-SARASOTA269,27.124144601,-82.471218,979,2010-01-04,2025-12-29
21FLDOH_WQX-LEE148,26.386039547,-81.875145619,977,2010-01-04,2025-12-29
21FLDOH_WQX-SARASOTA365,27.066308001,-82.448,975,2010-01-04,2025-12-29
21FLDOH_WQX-DADE67,25.831005701,-80.119239,974,2010-01-04,2025-12-23
21FLDOH_WQX-SARASOTA270,27.113816101,-82.468823,972,2010-01-04,2025-12-29
21FLDOH_WQX-ESCAMBIA317,30.432251001,-87.188685,965,2010-01-04,2025-12-15
21FLDOH_WQX-SARASOTA334,27.315607601,-82.581711,964,2010-01-04,2025-12-29
21FLDOH_WQX-DADE68,25.795925601,-80.125436,963,2010-01-04,2025-12-22
21FLDOH_WQX-SARASOTA264,27.373152201,-82.632021,960,2010-01-04,2025-12-29
21FLDOH_WQX-HILLSBOROUGH119,27.968757001,-82.574618,960,2010-01-04,2025-12-29
21FLDOH_WQX-SARASOTA336,27.010314001,-82.413116,959,2010-01-04,2025-12-29
21FLDOH_WQX-DADE64,25.902830901,-80.121775,958,2010-01-04,2025-12-23
21FLDOH_WQX-DADE63,25.907917701,-80.1327,957,2010-01-04,2025-12-22
21FLDOH_WQX-DADE65,25.881809701,-80.120069,952,2010-01-04,2025-12-22
21FLDOH_WQX-DADE69,25.768117501,-80.130568,950,2010-01-04,2025-12-22
21FLDOH_WQX-SARASOTA274,27.078269001,-82.452856,949,2010-01-04,2025-12-29
21FLDOH_WQX-HILLSBOROUGH125,27.908838401,-82.447436,945,2010-01-04,2025-12-29
21FLDOH_WQX-DADE61,25.966134301,-80.118265,943,2010-01-04,2025-12-22
21FLDOH_WQX-HILLSBOROUGH127,27.729204701,-82.476457,940,2010-01-04,2025-12-29
21FLDOH_WQX-SARASOTA275,26.963238801,-82.385649,940,2010-01-04,2025-12-29
21FLDOH_WQX-HILLSBOROUGH123,27.850177501,-82.554715,940,2010-01-04,2025-12-29
21FLDOH_WQX-HILLSBOROUGH121,27.95154373,-82.546703578,938,2010-01-04,2025-12-29
21FLDOH_WQX-DADE70,25.744097901,-80.143665,937,2010-01-04,2025-12-23
21FLDOH_WQX-DADE73,25.689363001,-80.156557,934,2010-01-04,2025-12-23
21FLDOH_WQX-DADE71,25.737744742,-80.167997581,933,2010-06-07,2025-12-23
21FLDOH_WQX-DADE74,25.668773101,-80.154331,932,2010-01-04,2025-12-23
21FLDOH_WQX-DADE386,25.703076001,-80.153672,927,2010-09-13,2025-12-23
21FLDOH_WQX-SARASOTA266,27.298183101,-82.56739,925,2010-01-04,2025-12-29
21FLDOH_WQX-MARTIN165,27.202924001,-80.258183,894,2010-01-04,2025-12-29
21FLDOH_WQX-SARASOTA335,27.057028201,-82.443602,889,2010-01-04,2024-07-29
21FLDOH_WQX-LEE144,26.468959101,-82.02866,882,2010-01-04,2025-12-29
21FLDOH_WQX-HILLSBOROUGH126,27.747933601,-82.472212,881,2010-01-04,2025-12-29
21FLDOH_WQX-DADE387,25.918714001,-80.121153,870,2010-10-25,2025-12-23
21FLDOH_WQX-DADE388,25.937432001,-80.1197,853,2010-10-25,2025-12-22
21FLDOH_WQX-PALM BEACH207,26.942918737,-80.074512313,820,2010-01-04,2025-12-30
21FLDOH_WQX-PALM BEACH327,26.783275601,-80.041981,797,2010-01-04,2025-12-29
21FLDOH_WQX-MANATEE157,27.495903001,-82.647017,776,2010-01-04,2025-12-29
