station,date,value
21AWIC-1123,2010-05-05,32.0
21AWIC-1123,2010-09-29,1.0
21AWIC-1123,2011-05-10,13.0
21AWIC-1123,2011-07-13,690.0
21AWIC-1123,2011-09-20,47.0
21AWIC-1123,2012-05-14,5.0
21AWIC-1123,2012-07-10,210.0
21AWIC-1123,2012-09-13,11.0
21AWIC-1123,2013-05-13,23.0
21AWIC-1123,2013-07-09,61.0
21AWIC-1123,2013-09-10,21.0
21AWIC-1123,2014-03-24,53.0
21AWIC-1123,2014-04-17,60.0
21AWIC-1123,2014-05-13,70.0
21AWIC-1123,2014-06-16,64.0
21AWIC-1123,2014-07-08,10.0
21AWIC-1123,2014-08-04,11.0
21AWIC-1123,2014-09-16,36.0
21AWIC-1123,2014-10-07,20.0
21AWIC-1123,2015-03-16,110.0
21AWIC-1123,2015-04-06,15.0
21AWIC-1123,2015-05-05,10.0
21AWIC-1123,2015-06-03,96.0
21AWIC-1123,2015-07-21,32.0
21AWIC-1123,2015-08-04,12.0
21AWIC-1123,2015-09-15,26.0
21AWIC-1123,2015-10-07,61.0
21AWIC-1123,2016-05-09,24.0
21AWIC-1123,2016-07-21,15.0
21AWIC-1123,2016-09-14,42.0
21AWIC-1123,2017-05-04,440.0
21AWIC-1123,2017-07-11,54.0
21AWIC-1123,2017-09-11,33.0
21AWIC-1123,2017-09-11,40.0
21AWIC-1123,2018-05-17,16.0
21AWIC-1123,2018-07-17,1000.0
21AWIC-1123,2018-09-13,220.0
21AWIC-1123,2018-09-13,200.0
21AWIC-1123,2019-05-07,23.0
21AWIC-1123,2019-07-09,14.0
21AWIC-1123,2019-09-10,33.0
21AWIC-1123,2020-05-07,9.0
21AWIC-1123,2020-07-21,6.2
21AWIC-1123,2020-09-30,22.0
21AWIC-1123,2020-09-30,31.0
21AWIC-1123,2021-03-30,39.0
21AWIC-1123,2021-05-25,32.0
21AWIC-1123,2021-06-16,24.0
21AWIC-1123,2021-07-15,56.0
21AWIC-1123,2021-08-25,80.0
21AWIC-1123,2021-09-14,77.0
21AWIC-1123,2021-10-25,490.0
21AWIC-1123,2021-10-25,390.0
21AWIC-1123,2022-01-05,460.0
21AWIC-1123,2022-02-02,11.0
21AWIC-1123,2022-03-07,11.0
21AWIC-1123,2022-04-04,57.0
21AWIC-1123,2022-05-09,52.0
21AWIC-1123,2022-06-21,12.0
21AWIC-1123,2022-07-18,62.0
21AWIC-1123,2022-08-09,160.0
21AWIC-1123,2022-09-12,86.0
21AWIC-1123,2022-10-04,20.0
21AWIC-1123,2022-11-01,1700.0
21AWIC-1123,2022-12-01,1700.0
21AWIC-1123,2023-01-04,1700.0
21AWIC-1123,2023-02-01,2400.0
21AWIC-1123,2023-03-07,31.0
21AWIC-1123,2023-04-18,1300.0
21AWIC-1123,2023-05-11,32.0
21AWIC-1123,2023-06-21,42.0
21AWIC-1123,2023-07-12,580.0
21AWIC-1123,2023-07-12,690.0
21AWIC-1123,2023-08-16,58.0
21AWIC-1123,2023-09-06,29.0
21AWIC-1123,2023-10-04,15.0
21AWIC-1123,2023-10-04,19.0
21AWIC-1123,2023-11-01,20.0
21AWIC-1123,2023-12-06,160.0
21AWIC-1123,2024-01-10,980.0
21AWIC-1123,2024-02-20,12.0
21AWIC-1123,2024-03-06,93.0
21AWIC-1123,2024-04-02,11.0
21AWIC-1123,2024-04-02,8.0
21AWIC-1123,2024-05-09,12.0
21AWIC-1123,2024-06-05,70.0
21AWIC-1123,2024-07-09,20.0
21AWIC-1123,2024-08-06,23.0
21AWIC-1123,2024-08-06,16.0
21AWIC-1123,2024-09-03,20.0
21AWIC-1123,2024-11-12,180.0
21AWIC-1123,2024-12-04,22.0
21AWIC-1123,2024-12-04,21.0
21AWIC-1123,2025-01-08,45.0
21AWIC-1123,2025-02-03,29.0
21AWIC-1123,2025-03-05,140.0
21AWIC-1123,2025-04-14,27.0
21AWIC-1123,2025-05-13,310.0
21AWIC-1123,2025-06-04,20.0
21AWIC-1123,2025-08-19,52.0
21AWIC-1123,2025-09-03,77.0
21AWIC-1123,2025-10-08,88.0
21AWIC-1123,2025-11-18,34.0
21AWIC-1123,2025-11-18,38.0
21AWIC-1123,2025-12-02,2400.0
21AWIC-1123,2026-01-13,84.0
21AWIC-1123,2026-02-03,34.0
21AWIC-2395,2014-03-27,10.0
21AWIC-2395,2014-04-16,570.0
21AWIC-2395,2014-05-20,140.0
21AWIC-2395,2014-06-16,25.0
21AWIC-2395,2014-07-07,16.0
21AWIC-57,2010-08-24,1.0
21AWIC-57,2012-08-28,3.1
21AWIC-57,2014-05-27,1.0
21AWIC-57,2014-07-29,1.0
21AWIC-57,2014-08-27,2.0
21AWIC-57,2014-09-23,1.0
21AWIC-57,2014-10-29,1.0
21AWIC-57,2017-06-27,3.1
21AWIC-57,2017-07-25,1.0
21AWIC-57,2017-08-22,1.0
21AWIC-57,2017-09-05,1.0
21AWIC-57,2021-06-29,1.0
21AWIC-57,2021-07-27,3.1
21AWIC-57,2021-08-24,1.0
21AWIC-57,2021-09-29,3.1
21AWIC-57,2024-06-26,1.0
21AWIC-57,2024-07-23,2.0
21AWIC-57,2024-08-28,2.0
21AWIC-57,2024-09-18,4.1
21AWIC-8350,2021-03-01,73.3
21AWIC-8350,2021-03-31,67.7
21AWIC-8350,2021-05-03,55.6
21AWIC-8350,2021-06-09,69.7
21AWIC-8350,2021-07-21,579.4
21AWIC-8350,2021-08-25,111.9
21AWIC-8350,2021-09-08,307.6
21AWIC-8350,2021-10-06,1732.9
21AWIC-84,2013-03-28,47.3
21AWIC-84,2013-04-25,29.8
21AWIC-84,2013-05-29,81.6
21AWIC-84,2013-06-24,85.7
21AWIC-84,2013-07-29,62.0
21AWIC-84,2013-09-26,1732.9
21AWIC-84,2013-10-31,13.2
21AWIC-84,2013-12-05,34.5
21AWIC-84,2013-12-16,26.2
21AWIC-84,2014-01-08,91.0
21AWIC-84,2014-02-25,365.4
21AWIC-84,2014-02-25,488.4
21AWIC-84,2014-03-18,1732.9
21AWIC-84,2014-03-18,2419.6
21AWIC-84,2014-04-23,29.0
21AWIC-84,2014-05-27,38.4
21AWIC-84,2014-06-23,156.5
21AWIC-84,2014-07-29,10.8
21AWIC-84,2014-08-26,8.5
21AWIC-84,2014-09-23,18.1
21AWIC-84,2014-10-28,18.7
21AWIC-84,2014-10-28,22.3
21AWIC-84,2014-11-18,27.5
21AWIC-84,2014-12-09,14.6
21AWIC-84,2015-01-13,151.5
21AWIC-84,2015-01-13,145.0
21AWIC-84,2015-02-26,866.4
21AWIC-84,2015-03-18,24.1
21AWIC-84,2015-04-16,579.4
21AWIC-84,2015-05-21,307.6
21AWIC-84,2015-05-21,307.6
21AWIC-84,2015-06-18,21.1
21AWIC-84,2015-07-14,34.1
21AWIC-84,2015-08-13,6.3
21AWIC-84,2015-09-24,93.3
21AWIC-84,2015-10-22,5.2
21AWIC-84,2015-11-16,60.2
21AWIC-84,2015-12-10,13.2
21AWIC-84,2016-01-21,135.4
21AWIC-84,2016-02-18,1046.2
21AWIC-84,2016-03-30,88.4
21AWIC-84,2016-04-21,43.5
21AWIC-84,2016-05-24,21.8
21AWIC-84,2016-06-15,25.9
21AWIC-84,2016-07-14,111.9
21AWIC-84,2016-08-25,35.9
21AWIC-84,2016-09-29,47.3
21AWIC-84,2016-11-03,16.9
21AWIC-84,2016-11-30,15.8
21AWIC-84,2016-11-30,18.7
21AWIC-84,2016-12-13,29.2
21AWIC-84,2017-01-18,72.7
21AWIC-84,2017-02-22,648.8
21AWIC-84,2017-03-30,32.3
21AWIC-84,2017-06-27,10.9
21AWIC-84,2017-07-25,204.6
