station,lat,lon,n,date_min,date_max
21FLWQA_WQX-GTMPCNUT,29.667540563,-81.257754502,883,2014-02-25,2020-10-13
21FLGTM_WQX-GTMPCNUT,29.667027207,-81.257421974,322,2012-12-10,2025-08-06
21FLPNS_WQX-33030019,30.607222,-87.061944,287,2010-01-05,2016-09-13
21FLPNS_WQX-33030011,30.624056,-87.035944,285,2010-01-05,2016-09-13
21FLPNS_WQX-33020146,30.547586,-87.189044,282,2010-01-05,2016-09-13
21FLPNS_WQX-330100A7,30.454019,-87.359056,265,2010-01-04,2016-03-16
21FLPNS_WQX-33030005,30.708907334,-86.971952983,264,2010-02-09,2016-09-13
21FLPNS_WQX-330200A4,30.580694,-87.161519,251,2010-01-05,2016-03-15
21FLPNS_WQX-33030D71,30.398219,-87.048361,250,2010-01-04,2016-09-13
21FLPNS_WQX-33010G10,30.336745142,-87.430521864,235,2010-01-04,2016-09-14
21FLPNS_WQX-330300G9,30.373365,-87.092053,225,2010-01-04,2016-09-13
21FLPNS_WQX-33010H24,30.313550264,-87.441919603,225,2010-01-04,2016-09-14
21FLMANA_WQX-UM4,27.467500001,-82.2706666,223,2010-01-06,2021-08-24
21FLPNS_WQX-33020K20,30.370966699,-87.177739983,220,2010-01-04,2016-09-13
21FLPNS_WQX-33030G75,30.327294,-87.180389,217,2010-01-04,2016-09-13
21FLLOX_WQX-64,26.991109001,-80.1453029,213,2010-01-27,2025-05-12
21FLMANA_WQX-LL1,27.411500001,-82.449,204,2010-01-12,2021-03-17
21FLMANA_WQX-TS1,27.424166601,-82.4945,194,2010-01-12,2021-07-29
21FLSARA_WQX-WOD,27.035569987,-82.41443,191,2010-01-11,2025-07-29
21FLLOX_WQX-95,26.934725401,-80.1911745,190,2010-01-27,2025-06-09
21FLMANA_WQX-D3,27.601944401,-82.2111111,190,2010-01-06,2021-08-24
21FLSARA_WQX-HUD-3,27.322029987,-82.52647,190,2010-01-12,2025-07-28
21FLSARA_WQX-CAT,27.225479987,-82.48627,190,2010-01-12,2025-07-28
21FLSARA_WQX-NOR,27.209829987,-82.4902,190,2010-01-12,2025-07-28
21FLSARA_WQX-MAT-1,27.252349987,-82.51363,190,2010-01-12,2025-07-28
21FLSARA_WQX-CAT-2,27.221229987,-82.49117,190,2010-01-12,2025-07-28
21FLSARA_WQX-CLO,27.231819987,-82.49742,190,2010-01-12,2025-07-28
21FLSARA_WQX-MAT-2,27.252279987,-82.51412,189,2010-01-12,2025-07-28
21FLSARA_WQX-CPS-2,27.146129987,-82.42538,189,2010-01-12,2025-07-07
21FLSARA_WQX-ELL,27.243979987,-82.50581,189,2010-01-12,2025-07-28
21FLLOX_WQX-107,26.978191801,-80.1463321,189,2010-01-27,2025-06-09
21FLSARA_WQX-CPS-1,27.149499987,-82.4259,189,2010-01-12,2025-07-07
21FLSARA_WQX-GOT-2,26.972179987,-82.3444,188,2010-01-11,2025-07-29
21FLSARA_WQX-WH-2,27.367937797,-82.54436337,188,2010-01-12,2025-07-28
21FLSARA_WQX-FOR-2,27.004799987,-82.3825,188,2010-01-11,2025-07-29
21FLSARA_WQX-HAT-1,27.099929987,-82.42496,188,2010-01-11,2025-07-29
21FLSARA_WQX-CC-3,27.111449987,-82.40949,188,2010-01-11,2025-07-29
21FLPNS_WQX-33030H26,30.383889,-86.863611,188,2010-01-04,2016-09-13
21FLSARA_WQX-ALL,27.057619987,-82.41292,187,2010-01-11,2025-07-29
21FLSARA_WQX-SOU-2,27.194649987,-82.46211,187,2010-01-12,2025-07-28
21FLSARA_WQX-CC-2,27.117709987,-82.43382,187,2010-01-11,2025-07-29
21FLSARA_WQX-HUD-2,27.326299987,-82.526,187,2010-01-12,2025-07-28
21FLLOX_WQX-72,26.943427744,-80.121587415,187,2010-01-20,2025-06-09
21FLSARA_WQX-ALL-2,27.058369987,-82.3952,187,2010-01-11,2025-07-29
21FLSARA_WQX-GOT-3,26.983999987,-82.3549,186,2010-01-11,2025-07-29
21FLLOX_WQX-69,26.937309401,-80.1761552,186,2010-01-27,2025-06-09
21FLSARA_WQX-HWC,27.276389987,-82.32167,185,2010-01-05,2025-07-22
21FLLOX_WQX-62,26.976287701,-80.1319161,185,2010-01-27,2025-06-09
21FLLOX_WQX-60,26.958044501,-80.1202703,184,2010-01-27,2025-06-09
21FLSARA_WQX-BBC,27.111109987,-82.35993,184,2010-01-05,2025-07-22
21FLLOX_WQX-40,26.947386001,-80.09282,184,2010-01-19,2025-06-09
21FLLOX_WQX-67,26.976002701,-80.1633482,184,2010-01-27,2025-06-09
21FLLOX_WQX-10,26.944869399,-80.074443872,184,2010-01-19,2025-06-09
21FLSARA_WQX-BGS-B,27.111539987,-82.20493,183,2010-01-05,2025-07-22
21FLLOX_WQX-65,26.991137901,-80.1550456,183,2010-01-27,2025-06-09
21FLSARA_WQX-CLG,27.287069987,-82.25329,181,2010-01-05,2025-07-22
21FLLOX_WQX-100,26.977266501,-80.1659744,181,2010-01-27,2025-06-09
21FLLOX_WQX-75,26.933732936,-80.113058175,179,2010-01-20,2025-06-11
21FLHILL_WQX-103,27.997414662,-82.586513802,179,2010-01-04,2025-07-01
21FLLOX_WQX-74,26.933250132,-80.126359597,177,2010-01-20,2025-06-11
21FLSARA_WQX-DPS,27.064369987,-82.28704,176,2010-01-05,2025-07-22
21FLHILL_WQX-179,27.884933,-82.30665,176,2010-01-25,2025-06-24
21FLHILL_WQX-153,27.869101,-82.326401,176,2010-01-25,2025-07-22
21FLHILL_WQX-101,28.0257081,-82.631640091,176,2010-01-04,2025-07-01
21FLHILL_WQX-152,28.01061106,-82.464858295,176,2010-01-06,2025-07-08
21FLHILL_WQX-176,27.992038159,-82.466125279,173,2010-02-03,2025-07-08
21FLHILL_WQX-182,27.672217,-82.417,172,2010-01-27,2025-07-16
21FLLOX_WQX-73,26.940798861,-80.120251802,172,2010-01-20,2025-06-11
21FLHILL_WQX-105,28.022133182,-82.43496002,170,2010-01-06,2025-07-08
21FLNAPL_WQX-HALDCR,26.122290001,-81.78248,168,2011-01-26,2018-12-13
21FLLOX_WQX-71,26.941832108,-80.118225487,168,2010-01-20,2025-06-11
21FLHILL_WQX-181,27.681033,-82.430517,167,2010-01-27,2025-07-16
21FLHILL_WQX-137,27.966579738,-82.474938838,166,2010-02-03,2025-07-08
21FLSARA_WQX-WMS-1,27.059709987,-82.26093,164,2011-01-25,2025-07-22
21FLHILL_WQX-178,27.857517,-82.35535,163,2010-01-25,2025-07-22
21FLNAPL_WQX-MB2,26.188200001,-81.81187,162,2010-01-05,2018-12-18
CAPECRD_WQX-540,26.553167723,-81.973817728,162,2010-02-16,2023-02-16
21FLSEAS_WQX-30SEAS112,29.1683333,-83.037666,160,2010-01-04,2018-03-21
21FLSARA_WQX-WH-1,27.354599987,-82.5477,160,2012-05-30,2025-07-28
21FLMANA_WQX-TS7,27.434650001,-82.466692,159,2010-01-12,2021-07-29
21FLMANA_WQX-D1,27.648594001,-82.294442,159,2010-01-06,2021-08-24
21FLHILL_WQX-112,27.704433594,-82.448279349,158,2010-01-27,2025-07-16
CAPECRD_WQX-190,26.669819546,-82.038000991,157,2010-01-05,2023-06-08
21FLHILL_WQX-102,28.010599,-82.607803,156,2010-02-01,2025-07-01
21FLSARA_WQX-ALL-3,27.045099987,-82.4191,156,2012-09-11,2025-07-29
21FLWQA_WQX-GTMFMNUT,29.737,-81.246,154,2014-02-26,2020-10-13
CAPECRD_WQX-390,26.605,-81.96472,153,2010-02-11,2023-06-22
21FLWQA_WQX-GTMSSNUT,29.868841988,-81.307443,153,2014-02-26,2020-10-13
21FLSEAS_WQX-10SEAS252,30.2556666,-85.645333,153,2010-03-23,2017-11-29
CAPECRD_WQX-350,26.62278,-81.90972,153,2010-02-04,2023-02-07
21FLLEHI_WQX-WQ SITE 22,26.651861,-81.69891,152,2010-01-07,2024-01-17
21FLLOX_WQX-TPJ,26.926428501,-80.110738,152,2014-10-30,2025-06-11
21FLWQA_WQX-GTMPINUT,30.0508,-81.3675,152,2014-02-26,2020-10-13
21FLLEHI_WQX-WQ SITE 21,26.586451,-81.613436,151,2010-02-03,2024-01-17
CAPECRD_WQX-600,26.54222,-82.00361,150,2010-01-21,2023-02-21
21FLMANA_WQX-UM2,27.493333301,-82.3548333,149,2010-01-06,2021-08-24
21FLLEHI_WQX-WQ SITE 19,26.627947,-81.750188,149,2010-01-06,2024-01-17
21FLLEHI_WQX-WQ SITE 16,26.59591,-81.565521,148,2010-02-03,2024-01-17
21FLLEHI_WQX-WQ SITE 6,26.643102,-81.689173,148,2010-01-07,2024-01-17
21FLHILL_WQX-180,27.715990212,-82.470444816,147,2010-01-27,2025-07-16
21FLLEHI_WQX-WQ SITE 7,26.605762,-81.613673,147,2010-01-06,2024-01-17
21FLSEAS_WQX-10SEAS450,30.2556666,-85.620666,147,2010-03-23,2017-12-11
CAPECRD_WQX-262,26.64639,-81.93472,147,2010-01-07,2023-06-13
CAPECRD_WQX-400,26.59997804,-81.941824518,147,2010-01-12,2023-02-09
21FLMANA_WQX-ER2,27.429833301,-82.486,147,2010-01-12,2021-07-29
21FLGTM_WQX-GTMSSNUT,29.868851972,-81.307461562,147,2012-12-11,2025-08-06
21FLGTM_WQX-GTMPINUT,30.050833289,-81.3675,146,2012-12-11,2025-08-06
CAPECRD_WQX-271,26.64284473,-82.056092856,146,2010-01-05,2022-09-01
21FLSEAS_WQX-10SEAS461,30.261,-85.607166,146,2010-03-23,2017-12-11
21FLLEHI_WQX-WQ SITE 14,26.680173,-81.566284,146,2010-01-07,2024-01-18
21FLGTM_WQX-GTMFMNUT,29.737043658,-81.245953061,146,2012-12-11,2025-08-06
21FLHILL_WQX-174,28.020874922,-82.452542598,145,2010-03-03,2025-07-08
21FLLEHI_WQX-WQ SITE 31,26.713432,-81.566304,145,2010-02-04,2024-01-18
21FLLEHI_WQX-WQ SITE 20,26.576434,-81.651588,145,2010-01-06,2024-01-17
21FLHILL_WQX-110,27.952464571,-82.370880114,144,2010-02-10,2025-07-09
