station,date,value
21AWIC-1123,2010-07-08,5.59
21AWIC-1123,2011-05-10,9.63
21AWIC-1123,2012-05-14,6.31
21AWIC-1123,2013-05-13,4.0
21AWIC-1123,2014-06-16,5.02
21AWIC-1123,2015-05-05,5.28
21AWIC-1123,2016-05-09,1.97
21AWIC-1123,2017-05-04,4.07
21AWIC-1123,2018-05-17,5.8
21AWIC-1123,2019-05-07,9.01
21AWIC-1123,2020-05-07,4.66
21AWIC-1123,2021-04-28,3.52
21AWIC-1123,2021-05-25,6.19
21AWIC-1123,2021-06-16,4.54
21AWIC-1123,2021-08-25,4.83
21AWIC-1123,2021-10-25,4.65
21AWIC-1123,2021-10-25,4.96
21AWIC-1123,2022-06-21,5.91
21AWIC-1123,2023-06-21,5.04
21AWIC-1123,2024-06-05,4.92
21AWIC-1123,2025-06-04,4.52
21AWIC-57,2010-08-24,6.26
21AWIC-57,2012-04-25,8.1
21AWIC-57,2012-06-26,7.72
21AWIC-57,2012-08-28,7.28
21AWIC-57,2012-10-24,7.77
21AWIC-57,2014-04-23,5.36
21AWIC-57,2014-06-23,6.53
21AWIC-57,2014-08-27,7.58
21AWIC-57,2014-10-29,7.12
21AWIC-57,2017-06-27,7.67
21AWIC-57,2017-07-25,7.43
21AWIC-57,2017-08-22,8.15
21AWIC-57,2017-09-05,7.92
21AWIC-57,2021-06-29,8.48
21AWIC-57,2021-07-27,8.38
21AWIC-57,2021-07-27,8.38
21AWIC-57,2021-08-24,9.02
21AWIC-57,2021-09-29,9.16
21AWIC-57,2024-06-26,9.61
21AWIC-57,2024-07-23,10.3
21AWIC-57,2024-08-28,9.81
21AWIC-57,2024-09-18,9.18
21AWIC-760,2018-06-13,1810.0
21AWIC-760,2018-08-13,2220.0
21AWIC-760,2018-10-17,2200.0
21AWIC-760,2021-05-17,1380.0
21AWIC-760,2021-07-14,630.0
21AWIC-760,2021-09-14,1320.0
21AWIC-760,2024-05-07,3250.0
21AWIC-760,2024-07-11,2190.0
21AWIC-760,2024-09-04,3520.0
21AWIC-762,2018-06-13,786.0
21AWIC-762,2018-08-13,1350.0
21AWIC-762,2018-10-17,1680.0
21AWIC-762,2021-05-17,86.9
21AWIC-762,2021-07-14,21.5
21AWIC-762,2021-09-14,423.0
