station,lat,lon,n,date_min,date_max
21FLTBW_WQX-INTM,27.7978,-82.4118833,2754,2010-02-16,2016-06-23
21FLTBW_WQX-NAB,27.7886667,-82.4153667,1979,2010-02-16,2016-06-23
21FLTBW_WQX-DISM,27.7931467,-82.4137167,1977,2010-02-16,2016-06-20
FLPRMRWS_WQX-PR18,27.088901,-81.9938016,1894,2010-01-13,2023-12-19
21FLTBW_WQX-DISN,27.7936667,-82.4135833,1732,2010-02-16,2016-06-23
21FLCBA_WQX-FWB19,30.4162,-86.5343,1506,2013-07-17,2021-05-11
21FLTBW_WQX-DISS,27.7930667,-82.41385,1502,2010-02-16,2016-06-20
21FLCBA_WQX-NVL05,30.436073443,-86.425311756,1493,2010-05-28,2021-05-11
21FLCBA_WQX-NVL06,30.443564373,-86.471350861,1468,2010-05-28,2021-05-11
FLPRMRWS_WQX-PR9,26.8994623,-82.120805,1456,2010-01-28,2023-12-19
21FLTBW_WQX-AR612461,27.884266668,-82.30575,1421,2015-01-06,2023-09-25
FLPRMRWS_WQX-PR17,27.0821329,-81.999044,1409,2010-01-28,2023-12-19
21FLTBW_WQX-AR510461,27.871366668,-82.309866667,1350,2015-01-06,2023-09-25
FLPRMRWS_WQX-PR14,27.0558224,-81.9910861,1218,2010-01-28,2023-12-19
FLPRMRWS_WQX-PR92,26.9611555,-81.9988686,1207,2010-01-28,2023-12-19
21FLMCGL_WQX-WS P,30.235711,-84.301483,1154,2018-03-19,2021-12-19
FLPRMRWS_WQX-PR22,26.9711241,-82.008383,1140,2010-01-28,2023-12-19
FLPRMRWS_WQX-PR11,26.9579011,-82.0248363,1122,2010-01-28,2023-12-19
FLPRMRWS_WQX-PR12,26.9869027,-81.992398,1085,2010-01-28,2023-12-19
FLPRMRWS_WQX-PR10,26.943926,-82.060335,1041,2010-01-28,2023-12-19
21FLCBA_WQX-DES07,30.44307524,-86.336477593,1039,2010-01-29,2021-05-11
21FLSJWM_WQX-IRLSUS,27.8541667,-80.4913889,1011,2010-01-06,2016-04-05
21FLCBA_WQX-OKA-CB-BEACH-19,30.4162,-86.5343,975,2017-01-04,2025-05-02
21FLSFWM_WQX-18444,27.202777778,-80.259166667,975,2016-07-07,2025-08-14
21FLTBW_WQX-ARBAY000,27.852500001,-82.4093,960,2010-10-18,2023-09-25
FLPRMRWS_WQX-PR13,27.0233801,-81.989253,940,2010-01-28,2023-12-19
21FLCBA_WQX-OKA-CB-EVILLE-5,30.436073443,-86.425311756,931,2017-01-04,2025-06-05
21FLSFWM_WQX-18447,27.27171,-80.321990556,914,2010-01-05,2025-08-12
21FLCBA_WQX-OKA-CB-EVILLE-6,30.443564373,-86.471350861,909,2017-01-04,2025-06-05
21FLTBW_WQX-AR408151,27.869249988,-82.324733333,905,2015-01-06,2023-09-25
21FLSFWM_WQX-18453,27.16525,-80.169393611,895,2016-07-25,2025-08-14
21FLTBW_WQX-AR305825,27.859616655,-82.3442,889,2015-01-06,2023-09-25
21FLGTM_WQX-GTMPCNUT,29.667027207,-81.257421974,881,2012-12-10,2025-08-20
FLPRMRWS_WQX-PR19,27.0927695,-81.9829988,873,2010-01-28,2023-12-19
21FLCBA_WQX-DES08,30.457106216,-86.271287244,872,2010-01-29,2021-05-11
21FLSFWM_WQX-18442,27.180324722,-80.193931389,871,2016-07-25,2025-08-14
FLPRMRWS_WQX-PR24,27.0435581,-81.9901767,867,2010-01-28,2023-12-19
21FLTBW_WQX-INTS,27.7974333,-82.41205,825,2010-02-16,2016-06-20
FLPRMRWS_WQX-PR25,27.0616857,-82.000788,804,2010-01-28,2023-12-19
FLPRMRWS_WQX-PR23,27.0060034,-81.9867806,787,2010-01-28,2023-12-19
FLPRMRWS_WQX-PR21,26.9566773,-82.0452516,769,2010-01-28,2023-12-19
21FLSFWM_WQX-18454,27.32464,-80.33315,747,2010-01-05,2025-08-12
21FLSFWM_WQX-9552,27.228100556,-80.288523611,737,2016-07-07,2025-08-12
21FLHILL_WQX-1606,27.696833,-82.45755,708,2010-01-27,2025-07-16
21FLHILL_WQX-1604,27.71115,-82.453983,708,2010-01-27,2025-07-16
21FLHILL_WQX-1705,27.9477,-82.390617,705,2010-01-13,2025-07-09
21FLHILL_WQX-1509,27.997783713,-82.469034175,705,2010-01-06,2025-07-08
21FLHILL_WQX-1507,27.985573587,-82.471707787,705,2010-01-06,2025-07-08
21FLHILL_WQX-1514,28.01792,-82.44742,705,2010-01-06,2025-07-08
21FLHILL_WQX-1601,27.717446659,-82.47869629,705,2010-01-27,2025-07-16
21FLHILL_WQX-1512,28.01808,-82.4647,705,2010-01-06,2025-07-08
21FLSCCF_WQX-H1,26.569570001,-82.24128,704,2018-09-07,2018-12-04
21FLHILL_WQX-1612,27.666717,-82.4314,704,2010-01-27,2025-07-16
21FLHILL_WQX-1703,27.944167,-82.40725,704,2010-01-13,2025-07-09
21FLHILL_WQX-1314,27.881883116,-82.299631656,702,2010-01-25,2025-07-22
21FLHILL_WQX-1310,27.866367,-82.312833,702,2010-01-25,2025-07-22
21FLHILL_WQX-1311,27.873495504,-82.309960019,702,2010-01-25,2025-07-22
21FLHILL_WQX-1315,27.876385257,-82.292277917,702,2010-01-25,2025-07-22
21FLHILL_WQX-1502,27.95265,-82.46535,702,2010-01-06,2025-07-08
21FLHILL_WQX-1503,27.959355,-82.46438,702,2010-01-06,2025-07-08
21FLHILL_WQX-1510,28.00455,-82.4701,702,2010-01-06,2025-07-08
21FLHILL_WQX-1506,27.97897,-82.47695,702,2010-01-06,2025-07-08
