station,lat,lon,n,date_min,date_max
CAPECRD_WQX-540,26.553167723,-81.973817728,565,2010-01-19,2025-05-20
CAPECRD_WQX-600,26.54222,-82.00361,563,2010-01-21,2025-05-27
CAPECRD_WQX-310,26.62944,-81.96778,563,2010-01-14,2025-05-15
CAPECRD_WQX-350,26.62278,-81.90972,557,2010-01-07,2025-05-08
CAPECRD_WQX-262,26.64639,-81.93472,528,2010-01-07,2025-05-08
CAPECRD_WQX-242,26.644117752,-81.874722535,517,2010-01-07,2025-05-08
CAPECRD_WQX-190,26.669819546,-82.038000991,513,2010-01-05,2025-05-06
CAPECRD_WQX-210,26.662636629,-81.929089534,507,2010-01-07,2025-05-08
CAPECRD_WQX-271,26.64284473,-82.056092856,506,2010-01-05,2025-05-06
CAPECRD_WQX-300,26.636648422,-81.930610059,506,2010-01-19,2025-05-20
CAPECRD_WQX-550,26.549202647,-82.034217229,504,2010-01-21,2025-05-27
CAPECRD_WQX-120,26.699010171,-82.063691517,504,2010-01-05,2025-05-06
CAPECRD_WQX-590,26.543739057,-82.010728076,499,2010-01-21,2025-05-27
CAPECRD_WQX-295,26.63639,-81.95806,487,2010-01-12,2025-05-13
CAPECRD_WQX-280,26.64139,-81.97111,485,2010-01-14,2025-05-15
CAPECRD_WQX-430,26.589496829,-81.970846093,483,2010-01-19,2025-05-20
CAPECRD_WQX-290,26.6375,-81.9775,482,2010-01-14,2025-05-15
CAPECRD_WQX-160,26.67841231,-82.038986994,482,2010-01-05,2025-05-06
CAPECRD_WQX-470,26.57735499,-81.943337465,481,2010-01-12,2025-05-13
CAPECRD_WQX-435,26.599999503,-82.007355696,437,2011-10-20,2025-05-27
CAPECRD_WQX-390,26.605,-81.96472,429,2010-01-14,2025-05-15
CAPECRD_WQX-400,26.59997804,-81.941824518,428,2010-01-12,2025-05-13
CAPECRD_WQX-442,26.583861554,-82.009522581,366,2011-10-20,2025-05-27
CAPECRD_WQX-130,26.694263457,-82.038981195,365,2010-01-05,2025-05-06
21FLNAPL_WQX-MB2,26.188200001,-81.81187,340,2010-01-05,2025-03-13
CAPECRD_WQX-110,26.725501793,-81.957075161,321,2010-01-12,2025-05-13
21FLNAPL_WQX-HALDCR,26.122290001,-81.78248,311,2011-01-26,2025-03-18
21FLSABR_WQX-BAY-GR-LAGOON-4,30.147666989,-85.745333,304,2010-01-17,2025-08-22
